2012-07-03 14:09:28,727  0.61 Click(127,621)
2012-07-03 14:09:33,278  5.16 Flick from(82,636)to(97,261)
2012-07-03 14:09:33,808  5.69 Flick from(82,636)to(97,261)
2012-07-03 14:09:34,338  6.22 Flick from(82,636)to(97,261)
2012-07-03 14:09:34,868  6.75 Flick from(82,636)to(97,261)
2012-07-03 14:09:35,413  7.29 Flick from(82,636)to(97,261)
2012-07-03 14:09:35,943  7.82 Flick from(82,636)to(97,261)
2012-07-03 14:09:36,479  8.36 Flick from(82,636)to(97,261)
2012-07-03 14:09:37,009  8.89 Flick from(82,636)to(97,261)
2012-07-03 14:09:37,539  9.42 Flick from(82,636)to(97,261)
2012-07-03 14:09:38,069  9.95 Flick from(82,636)to(97,261)
2012-07-03 14:09:38,598  10.48 Flick from(82,636)to(97,261)
2012-07-03 14:09:39,130  11.01 Flick from(82,636)to(97,261)
2012-07-03 14:09:39,660  11.54 Flick from(82,636)to(97,261)
2012-07-03 14:09:40,190  12.07 Flick from(82,636)to(97,261)
2012-07-03 14:09:40,720  12.60 Flick from(82,636)to(97,261)
2012-07-03 14:09:41,250  13.13 Flick from(82,636)to(97,261)
2012-07-03 14:09:41,779  13.66 Flick from(82,636)to(97,261)
2012-07-03 14:09:42,312  14.19 Flick from(82,636)to(97,261)
2012-07-03 14:09:42,842  14.72 Flick from(82,636)to(97,261)
2012-07-03 14:09:43,371  15.25 Flick from(82,636)to(97,261)
2012-07-03 14:09:43,901  15.78 Flick from(82,636)to(97,261)
2012-07-03 14:09:44,431  16.31 Flick from(82,636)to(97,261)
2012-07-03 14:09:44,961  16.84 Flick from(82,636)to(97,261)
2012-07-03 14:09:45,492  17.37 Flick from(82,636)to(97,261)
2012-07-03 14:09:46,028  17.91 Flick from(82,636)to(97,261)
2012-07-03 14:09:46,558  18.44 Flick from(82,636)to(97,261)
2012-07-03 14:09:47,088  18.97 Flick from(82,636)to(97,261)
2012-07-03 14:09:47,618  19.50 Flick from(82,636)to(97,261)
2012-07-03 14:09:48,148  20.03 Flick from(82,636)to(97,261)
2012-07-03 14:09:48,677  20.56 Flick from(82,636)to(97,261)
2012-07-03 14:09:49,207  21.09 Flick from(82,636)to(97,261)
2012-07-03 14:09:49,739  21.62 Flick from(82,636)to(97,261)
2012-07-03 14:09:50,269  22.15 Flick from(82,636)to(97,261)
2012-07-03 14:09:50,799  22.68 Flick from(82,636)to(97,261)
2012-07-03 14:09:51,328  23.21 Flick from(82,636)to(97,261)
2012-07-03 14:09:51,861  23.74 Flick from(82,636)to(97,261)
2012-07-03 14:09:52,391  24.27 Flick from(82,636)to(97,261)
2012-07-03 14:09:52,921  24.80 Flick from(82,636)to(97,261)
2012-07-03 14:09:53,451  25.33 Flick from(82,636)to(97,261)
2012-07-03 14:09:53,983  25.86 Flick from(82,636)to(97,261)
2012-07-03 14:09:54,513  26.39 Flick from(82,636)to(97,261)
2012-07-03 14:09:55,042  26.92 Flick from(82,636)to(97,261)
2012-07-03 14:09:55,572  27.45 Flick from(82,636)to(97,261)
2012-07-03 14:09:56,102  27.98 Flick from(82,636)to(97,261)
2012-07-03 14:09:56,634  28.52 Flick from(82,636)to(97,261)
2012-07-03 14:09:57,164  29.05 Flick from(82,636)to(97,261)
2012-07-03 14:09:57,694  29.58 Flick from(82,636)to(97,261)
2012-07-03 14:09:58,223  30.11 Flick from(82,636)to(97,261)
2012-07-03 14:09:58,753  30.63 Flick from(82,636)to(97,261)
2012-07-03 14:09:59,285  31.17 Flick from(82,636)to(97,261)
2012-07-03 14:09:59,815  31.70 Flick from(82,636)to(97,261)
2012-07-03 14:10:00,352  32.23 Flick from(82,636)to(97,261)
2012-07-03 14:10:00,882  32.76 Flick from(82,636)to(97,261)
2012-07-03 14:10:01,413  33.29 Flick from(82,636)to(97,261)
2012-07-03 14:10:01,944  33.83 Flick from(82,636)to(97,261)
2012-07-03 14:10:02,473  34.36 Flick from(82,636)to(97,261)
2012-07-03 14:10:03,006  34.89 Flick from(82,636)to(97,261)
2012-07-03 14:10:03,536  35.42 Flick from(82,636)to(97,261)
2012-07-03 14:10:04,065  35.95 Flick from(82,636)to(97,261)
2012-07-03 14:10:04,595  36.48 Flick from(82,636)to(97,261)
2012-07-03 14:10:05,125  37.01 Flick from(82,636)to(97,261)
2012-07-03 14:10:05,655  37.54 Flick from(82,636)to(97,261)
2012-07-03 14:10:06,186  38.07 Flick from(82,636)to(97,261)
2012-07-03 14:10:06,716  38.60 Flick from(82,636)to(97,261)
2012-07-03 14:10:07,246  39.13 Flick from(82,636)to(97,261)
2012-07-03 14:10:07,776  39.66 Flick from(82,636)to(97,261)
2012-07-03 14:10:08,312  40.19 Flick from(82,636)to(97,261)
2012-07-03 14:10:08,842  40.72 Flick from(82,636)to(97,261)
2012-07-03 14:10:09,371  41.25 Flick from(82,636)to(97,261)
2012-07-03 14:10:09,901  41.78 Flick from(82,636)to(97,261)
2012-07-03 14:10:10,431  42.31 Flick from(82,636)to(97,261)
2012-07-03 14:10:10,961  42.84 Flick from(82,636)to(97,261)
2012-07-03 14:10:11,492  43.37 Flick from(82,636)to(97,261)
2012-07-03 14:10:12,022  43.90 Flick from(82,636)to(97,261)
2012-07-03 14:10:12,552  44.43 Flick from(82,636)to(97,261)
2012-07-03 14:10:13,107  44.99 Flick from(82,636)to(97,261)
2012-07-03 14:10:13,637  45.52 Flick from(82,636)to(97,261)
2012-07-03 14:10:14,167  46.05 Flick from(82,636)to(97,261)
2012-07-03 14:10:14,697  46.58 Flick from(82,636)to(97,261)
2012-07-03 14:10:15,227  47.11 Flick from(82,636)to(97,261)
