2012-06-28 12:34:22,844  2.95 Click(127,621)
2012-06-28 12:34:27,394  7.50 Flick from(82,636)to(97,261)
2012-06-28 12:34:27,924  8.03 Flick from(82,636)to(97,261)
2012-06-28 12:34:28,454  8.56 Flick from(82,636)to(97,261)
2012-06-28 12:34:28,986  9.09 Flick from(82,636)to(97,261)
2012-06-28 12:34:29,516  9.62 Flick from(82,636)to(97,261)
2012-06-28 12:34:30,052  10.15 Flick from(82,636)to(97,261)
2012-06-28 12:34:30,582  10.69 Flick from(82,636)to(97,261)
2012-06-28 12:34:31,114  11.22 Flick from(82,636)to(97,261)
2012-06-28 12:34:31,644  11.75 Flick from(82,636)to(97,261)
2012-06-28 12:34:32,174  12.28 Flick from(82,636)to(97,261)
2012-06-28 12:34:32,703  12.81 Flick from(82,636)to(97,261)
2012-06-28 12:34:33,233  13.34 Flick from(82,636)to(97,261)
2012-06-28 12:34:33,763  13.87 Flick from(82,636)to(97,261)
2012-06-28 12:34:34,293  14.40 Flick from(82,636)to(97,261)
2012-06-28 12:34:34,825  14.93 Flick from(82,636)to(97,261)
2012-06-28 12:34:35,355  15.46 Flick from(82,636)to(97,261)
2012-06-28 12:34:35,885  15.99 Flick from(82,636)to(97,261)
2012-06-28 12:34:36,415  16.52 Flick from(82,636)to(97,261)
2012-06-28 12:34:36,946  17.05 Flick from(82,636)to(97,261)
2012-06-28 12:34:37,476  17.58 Flick from(82,636)to(97,261)
2012-06-28 12:34:38,006  18.11 Flick from(82,636)to(97,261)
2012-06-28 12:34:38,536  18.64 Flick from(82,636)to(97,261)
2012-06-28 12:34:39,073  19.18 Flick from(82,636)to(97,261)
2012-06-28 12:34:39,604  19.71 Flick from(82,636)to(97,261)
2012-06-28 12:34:40,134  20.24 Flick from(82,636)to(97,261)
2012-06-28 12:34:40,665  20.77 Flick from(82,636)to(97,261)
2012-06-28 12:34:41,196  21.30 Flick from(82,636)to(97,261)
2012-06-28 12:34:41,726  21.83 Flick from(82,636)to(97,261)
2012-06-28 12:34:42,257  22.36 Flick from(82,636)to(97,261)
2012-06-28 12:34:42,788  22.89 Flick from(82,636)to(97,261)
2012-06-28 12:34:43,332  23.44 Flick from(82,636)to(97,261)
2012-06-28 12:34:43,862  23.97 Flick from(82,636)to(97,261)
2012-06-28 12:34:44,392  24.50 Flick from(82,636)to(97,261)
2012-06-28 12:34:44,923  25.03 Flick from(82,636)to(97,261)
2012-06-28 12:34:45,453  25.56 Flick from(82,636)to(97,261)
2012-06-28 12:34:45,983  26.09 Flick from(82,636)to(97,261)
2012-06-28 12:34:46,513  26.62 Flick from(82,636)to(97,261)
2012-06-28 12:34:47,042  27.15 Flick from(82,636)to(97,261)
2012-06-28 12:34:47,573  27.68 Flick from(82,636)to(97,261)
2012-06-28 12:34:48,104  28.21 Flick from(82,636)to(97,261)
2012-06-28 12:34:48,634  28.74 Flick from(82,636)to(97,261)
2012-06-28 12:34:49,164  29.27 Flick from(82,636)to(97,261)
2012-06-28 12:34:49,694  29.80 Flick from(82,636)to(97,261)
2012-06-28 12:34:50,224  30.33 Flick from(82,636)to(97,261)
2012-06-28 12:34:50,755  30.86 Flick from(82,636)to(97,261)
2012-06-28 12:34:51,285  31.39 Flick from(82,636)to(97,261)
2012-06-28 12:34:51,815  31.92 Flick from(82,636)to(97,261)
2012-06-28 12:34:52,345  32.45 Flick from(82,636)to(97,261)
2012-06-28 12:34:52,875  32.98 Flick from(82,636)to(97,261)
2012-06-28 12:34:53,404  33.51 Flick from(82,636)to(97,261)
2012-06-28 12:34:53,936  34.04 Flick from(82,636)to(97,261)
2012-06-28 12:34:54,467  34.57 Flick from(82,636)to(97,261)
2012-06-28 12:34:54,996  35.10 Flick from(82,636)to(97,261)
2012-06-28 12:34:55,526  35.63 Flick from(82,636)to(97,261)
2012-06-28 12:34:56,056  36.16 Flick from(82,636)to(97,261)
2012-06-28 12:34:56,586  36.69 Flick from(82,636)to(97,261)
2012-06-28 12:34:57,117  37.22 Flick from(82,636)to(97,261)
2012-06-28 12:34:57,647  37.75 Flick from(82,636)to(97,261)
2012-06-28 12:34:58,177  38.28 Flick from(82,636)to(97,261)
2012-06-28 12:34:58,707  38.81 Flick from(82,636)to(97,261)
2012-06-28 12:34:59,237  39.34 Flick from(82,636)to(97,261)
2012-06-28 12:34:59,769  39.87 Flick from(82,636)to(97,261)
2012-06-28 12:35:00,299  40.40 Flick from(82,636)to(97,261)
2012-06-28 12:35:00,829  40.93 Flick from(82,636)to(97,261)
2012-06-28 12:35:01,359  41.46 Flick from(82,636)to(97,261)
2012-06-28 12:35:01,890  41.99 Flick from(82,636)to(97,261)
2012-06-28 12:35:02,424  42.53 Flick from(82,636)to(97,261)
2012-06-28 12:35:02,953  43.06 Flick from(82,636)to(97,261)
2012-06-28 12:35:03,483  43.59 Flick from(82,636)to(97,261)
2012-06-28 12:35:04,015  44.12 Flick from(82,636)to(97,261)
2012-06-28 12:35:04,545  44.65 Flick from(82,636)to(97,261)
2012-06-28 12:35:05,108  45.21 Flick from(82,636)to(97,261)
2012-06-28 12:35:05,638  45.74 Flick from(82,636)to(97,261)
2012-06-28 12:35:06,168  46.27 Flick from(82,636)to(97,261)
2012-06-28 12:35:06,698  46.80 Flick from(82,636)to(97,261)
2012-06-28 12:35:07,229  47.33 Flick from(82,636)to(97,261)
2012-06-28 12:35:07,759  47.86 Flick from(82,636)to(97,261)
2012-06-28 12:35:08,289  48.39 Flick from(82,636)to(97,261)
2012-06-28 12:35:08,819  48.92 Flick from(82,636)to(97,261)
2012-06-28 12:35:09,348  49.45 Flick from(82,636)to(97,261)
2012-06-28 12:35:09,878  49.98 Flick from(82,636)to(97,261)
2012-06-28 12:35:10,408  50.51 Flick from(82,636)to(97,261)
2012-06-28 12:35:10,938  51.04 Flick from(82,636)to(97,261)
2012-06-28 12:35:11,470  51.57 Flick from(82,636)to(97,261)
2012-06-28 12:35:12,000  52.10 Flick from(82,636)to(97,261)
2012-06-28 12:35:12,530  52.63 Flick from(82,636)to(97,261)
2012-06-28 12:35:13,061  53.16 Flick from(82,636)to(97,261)
2012-06-28 12:35:13,591  53.69 Flick from(82,636)to(97,261)
2012-06-28 12:35:14,122  54.23 Flick from(82,636)to(97,261)
