2012-06-28 11:50:34,536  0.48 Click(127,621)
2012-06-28 11:50:39,085  5.03 Flick from(82,636)to(97,261)
2012-06-28 11:50:39,615  5.56 Flick from(82,636)to(97,261)
2012-06-28 11:50:40,151  6.10 Flick from(82,636)to(97,261)
2012-06-28 11:50:40,698  6.65 Flick from(82,636)to(97,261)
2012-06-28 11:50:41,233  7.18 Flick from(82,636)to(97,261)
2012-06-28 11:50:41,763  7.71 Flick from(82,636)to(97,261)
2012-06-28 11:50:42,295  8.24 Flick from(82,636)to(97,261)
2012-06-28 11:50:42,825  8.77 Flick from(82,636)to(97,261)
2012-06-28 11:50:43,358  9.31 Flick from(82,636)to(97,261)
2012-06-28 11:50:43,905  9.85 Flick from(82,636)to(97,261)
2012-06-28 11:50:44,436  10.38 Flick from(82,636)to(97,261)
2012-06-28 11:50:44,966  10.91 Flick from(82,636)to(97,261)
2012-06-28 11:50:45,496  11.45 Flick from(82,636)to(97,261)
2012-06-28 11:50:46,028  11.98 Flick from(82,636)to(97,261)
2012-06-28 11:50:46,562  12.51 Flick from(82,636)to(97,261)
2012-06-28 11:50:47,094  13.04 Flick from(82,636)to(97,261)
2012-06-28 11:50:47,625  13.57 Flick from(82,636)to(97,261)
2012-06-28 11:50:48,157  14.11 Flick from(82,636)to(97,261)
2012-06-28 11:50:48,690  14.64 Flick from(82,636)to(97,261)
2012-06-28 11:50:49,223  15.17 Flick from(82,636)to(97,261)
2012-06-28 11:50:49,753  15.70 Flick from(82,636)to(97,261)
2012-06-28 11:50:50,285  16.23 Flick from(82,636)to(97,261)
2012-06-28 11:50:50,815  16.76 Flick from(82,636)to(97,261)
2012-06-28 11:50:51,346  17.30 Flick from(82,636)to(97,261)
2012-06-28 11:50:51,878  17.83 Flick from(82,636)to(97,261)
2012-06-28 11:50:52,408  18.36 Flick from(82,636)to(97,261)
2012-06-28 11:50:52,938  18.89 Flick from(82,636)to(97,261)
2012-06-28 11:50:53,469  19.42 Flick from(82,636)to(97,261)
2012-06-28 11:50:53,999  19.95 Flick from(82,636)to(97,261)
2012-06-28 11:50:54,529  20.48 Flick from(82,636)to(97,261)
2012-06-28 11:50:55,059  21.01 Flick from(82,636)to(97,261)
2012-06-28 11:50:55,591  21.54 Flick from(82,636)to(97,261)
2012-06-28 11:50:56,121  22.07 Flick from(82,636)to(97,261)
2012-06-28 11:50:56,653  22.60 Flick from(82,636)to(97,261)
2012-06-28 11:50:57,183  23.13 Flick from(82,636)to(97,261)
2012-06-28 11:50:57,736  23.68 Flick from(82,636)to(97,261)
2012-06-28 11:50:58,266  24.22 Flick from(82,636)to(97,261)
2012-06-28 11:50:58,798  24.75 Flick from(82,636)to(97,261)
2012-06-28 11:50:59,329  25.28 Flick from(82,636)to(97,261)
2012-06-28 11:50:59,862  25.81 Flick from(82,636)to(97,261)
2012-06-28 11:51:00,394  26.34 Flick from(82,636)to(97,261)
2012-06-28 11:51:00,924  26.87 Flick from(82,636)to(97,261)
2012-06-28 11:51:01,456  27.40 Flick from(82,636)to(97,261)
2012-06-28 11:51:01,990  27.94 Flick from(82,636)to(97,261)
2012-06-28 11:51:02,522  28.47 Flick from(82,636)to(97,261)
2012-06-28 11:51:03,052  29.00 Flick from(82,636)to(97,261)
2012-06-28 11:51:03,582  29.53 Flick from(82,636)to(97,261)
2012-06-28 11:51:04,111  30.06 Flick from(82,636)to(97,261)
2012-06-28 11:51:04,641  30.59 Flick from(82,636)to(97,261)
2012-06-28 11:51:05,171  31.12 Flick from(82,636)to(97,261)
2012-06-28 11:51:05,703  31.65 Flick from(82,636)to(97,261)
2012-06-28 11:51:06,233  32.18 Flick from(82,636)to(97,261)
2012-06-28 11:51:06,763  32.71 Flick from(82,636)to(97,261)
2012-06-28 11:51:07,295  33.24 Flick from(82,636)to(97,261)
2012-06-28 11:51:07,826  33.78 Flick from(82,636)to(97,261)
2012-06-28 11:51:08,359  34.31 Flick from(82,636)to(97,261)
2012-06-28 11:51:08,894  34.84 Flick from(82,636)to(97,261)
2012-06-28 11:51:09,424  35.37 Flick from(82,636)to(97,261)
2012-06-28 11:51:09,957  35.91 Flick from(82,636)to(97,261)
2012-06-28 11:51:10,489  36.44 Flick from(82,636)to(97,261)
2012-06-28 11:51:11,019  36.97 Flick from(82,636)to(97,261)
2012-06-28 11:51:11,549  37.50 Flick from(82,636)to(97,261)
2012-06-28 11:51:12,079  38.03 Flick from(82,636)to(97,261)
2012-06-28 11:51:12,611  38.56 Flick from(82,636)to(97,261)
2012-06-28 11:51:13,148  39.10 Flick from(82,636)to(97,261)
2012-06-28 11:51:13,678  39.63 Flick from(82,636)to(97,261)
2012-06-28 11:51:14,210  40.16 Flick from(82,636)to(97,261)
2012-06-28 11:51:14,742  40.69 Flick from(82,636)to(97,261)
2012-06-28 11:51:15,273  41.22 Flick from(82,636)to(97,261)
2012-06-28 11:51:15,802  41.75 Flick from(82,636)to(97,261)
2012-06-28 11:51:16,334  42.28 Flick from(82,636)to(97,261)
2012-06-28 11:51:16,865  42.81 Flick from(82,636)to(97,261)
2012-06-28 11:51:17,398  43.35 Flick from(82,636)to(97,261)
2012-06-28 11:51:17,928  43.88 Flick from(82,636)to(97,261)
2012-06-28 11:51:18,460  44.41 Flick from(82,636)to(97,261)
2012-06-28 11:51:18,990  44.94 Flick from(82,636)to(97,261)
2012-06-28 11:51:19,522  45.47 Flick from(82,636)to(97,261)
2012-06-28 11:51:20,052  46.00 Flick from(82,636)to(97,261)
2012-06-28 11:51:20,582  46.53 Flick from(82,636)to(97,261)
