2012-06-28 11:54:58,232  1.23 Click(127,621)
2012-06-28 11:55:02,782  5.78 Flick from(82,636)to(97,261)
2012-06-28 11:55:03,318  6.31 Flick from(82,636)to(97,261)
2012-06-28 11:55:03,851  6.85 Flick from(82,636)to(97,261)
2012-06-28 11:55:04,381  7.38 Flick from(82,636)to(97,261)
2012-06-28 11:55:04,911  7.91 Flick from(82,636)to(97,261)
2012-06-28 11:55:05,440  8.44 Flick from(82,636)to(97,261)
2012-06-28 11:55:05,970  8.97 Flick from(82,636)to(97,261)
2012-06-28 11:55:06,500  9.50 Flick from(82,636)to(97,261)
2012-06-28 11:55:07,032  10.03 Flick from(82,636)to(97,261)
2012-06-28 11:55:07,565  10.56 Flick from(82,636)to(97,261)
2012-06-28 11:55:08,095  11.09 Flick from(82,636)to(97,261)
2012-06-28 11:55:08,630  11.63 Flick from(82,636)to(97,261)
2012-06-28 11:55:09,161  12.16 Flick from(82,636)to(97,261)
2012-06-28 11:55:09,690  12.69 Flick from(82,636)to(97,261)
2012-06-28 11:55:10,223  13.22 Flick from(82,636)to(97,261)
2012-06-28 11:55:10,756  13.75 Flick from(82,636)to(97,261)
2012-06-28 11:55:11,286  14.28 Flick from(82,636)to(97,261)
2012-06-28 11:55:11,818  14.81 Flick from(82,636)to(97,261)
2012-06-28 11:55:12,348  15.35 Flick from(82,636)to(97,261)
2012-06-28 11:55:12,880  15.88 Flick from(82,636)to(97,261)
2012-06-28 11:55:13,417  16.41 Flick from(82,636)to(97,261)
2012-06-28 11:55:13,947  16.94 Flick from(82,636)to(97,261)
2012-06-28 11:55:14,479  17.48 Flick from(82,636)to(97,261)
2012-06-28 11:55:15,010  18.01 Flick from(82,636)to(97,261)
2012-06-28 11:55:15,542  18.54 Flick from(82,636)to(97,261)
2012-06-28 11:55:16,072  19.07 Flick from(82,636)to(97,261)
2012-06-28 11:55:16,602  19.60 Flick from(82,636)to(97,261)
2012-06-28 11:55:17,132  20.13 Flick from(82,636)to(97,261)
2012-06-28 11:55:17,664  20.66 Flick from(82,636)to(97,261)
2012-06-28 11:55:18,194  21.19 Flick from(82,636)to(97,261)
