2012-07-05 19:06:04,703  0.63 Click(127,621)
2012-07-05 19:06:09,280  5.20 Flick from(82,636)to(97,261)
2012-07-05 19:06:09,811  5.74 Flick from(82,636)to(97,261)
2012-07-05 19:06:10,342  6.27 Flick from(82,636)to(97,261)
2012-07-05 19:06:10,871  6.80 Flick from(82,636)to(97,261)
2012-07-05 19:06:11,401  7.33 Flick from(82,636)to(97,261)
2012-07-05 19:06:11,931  7.86 Flick from(82,636)to(97,261)
2012-07-05 19:06:12,467  8.39 Flick from(82,636)to(97,261)
2012-07-05 19:06:12,999  8.92 Flick from(82,636)to(97,261)
2012-07-05 19:06:13,532  9.46 Flick from(82,636)to(97,261)
2012-07-05 19:06:14,062  9.99 Flick from(82,636)to(97,261)
2012-07-05 19:06:14,592  10.52 Flick from(82,636)to(97,261)
2012-07-05 19:06:15,121  11.05 Flick from(82,636)to(97,261)
2012-07-05 19:06:15,653  11.58 Flick from(82,636)to(97,261)
2012-07-05 19:06:16,183  12.11 Flick from(82,636)to(97,261)
2012-07-05 19:06:16,713  12.64 Flick from(82,636)to(97,261)
2012-07-05 19:06:17,243  13.17 Flick from(82,636)to(97,261)
2012-07-05 19:06:17,773  13.70 Flick from(82,636)to(97,261)
2012-07-05 19:06:18,316  14.24 Flick from(82,636)to(97,261)
2012-07-05 19:06:18,846  14.77 Flick from(82,636)to(97,261)
2012-07-05 19:06:19,377  15.30 Flick from(82,636)to(97,261)
2012-07-05 19:06:19,907  15.83 Flick from(82,636)to(97,261)
2012-07-05 19:06:20,437  16.36 Flick from(82,636)to(97,261)
2012-07-05 19:06:20,969  16.89 Flick from(82,636)to(97,261)
2012-07-05 19:06:21,499  17.42 Flick from(82,636)to(97,261)
2012-07-05 19:06:22,029  17.95 Flick from(82,636)to(97,261)
2012-07-05 19:06:22,559  18.48 Flick from(82,636)to(97,261)
2012-07-05 19:06:23,088  19.01 Flick from(82,636)to(97,261)
2012-07-05 19:06:23,618  19.54 Flick from(82,636)to(97,261)
