2012-07-03 14:27:16,348  0.60 Click(127,621)
2012-07-03 14:27:20,898  5.15 Flick from(82,636)to(97,261)
2012-07-03 14:27:21,428  5.68 Flick from(82,636)to(97,261)
2012-07-03 14:27:21,960  6.21 Flick from(82,636)to(97,261)
2012-07-03 14:27:22,494  6.74 Flick from(82,636)to(97,261)
2012-07-03 14:27:23,042  7.29 Flick from(82,636)to(97,261)
2012-07-03 14:27:23,572  7.82 Flick from(82,636)to(97,261)
2012-07-03 14:27:24,102  8.35 Flick from(82,636)to(97,261)
2012-07-03 14:27:24,641  8.89 Flick from(82,636)to(97,261)
2012-07-03 14:27:25,171  9.42 Flick from(82,636)to(97,261)
2012-07-03 14:27:25,706  9.95 Flick from(82,636)to(97,261)
2012-07-03 14:27:26,243  10.49 Flick from(82,636)to(97,261)
2012-07-03 14:27:26,773  11.02 Flick from(82,636)to(97,261)
2012-07-03 14:27:27,308  11.56 Flick from(82,636)to(97,261)
2012-07-03 14:27:27,848  12.10 Flick from(82,636)to(97,261)
2012-07-03 14:27:28,384  12.63 Flick from(82,636)to(97,261)
2012-07-03 14:27:28,921  13.17 Flick from(82,636)to(97,261)
2012-07-03 14:27:29,457  13.70 Flick from(82,636)to(97,261)
2012-07-03 14:27:29,987  14.24 Flick from(82,636)to(97,261)
2012-07-03 14:27:30,519  14.77 Flick from(82,636)to(97,261)
2012-07-03 14:27:31,056  15.30 Flick from(82,636)to(97,261)
2012-07-03 14:27:31,586  15.83 Flick from(82,636)to(97,261)
2012-07-03 14:27:32,117  16.37 Flick from(82,636)to(97,261)
2012-07-03 14:27:32,651  16.90 Flick from(82,636)to(97,261)
2012-07-03 14:27:33,184  17.43 Flick from(82,636)to(97,261)
2012-07-03 14:27:33,717  17.97 Flick from(82,636)to(97,261)
2012-07-03 14:27:34,252  18.50 Flick from(82,636)to(97,261)
2012-07-03 14:27:34,789  19.04 Flick from(82,636)to(97,261)
2012-07-03 14:27:35,319  19.57 Flick from(82,636)to(97,261)
2012-07-03 14:27:35,858  20.11 Flick from(82,636)to(97,261)
2012-07-03 14:27:36,391  20.64 Flick from(82,636)to(97,261)
2012-07-03 14:27:36,924  21.17 Flick from(82,636)to(97,261)
2012-07-03 14:27:37,456  21.70 Flick from(82,636)to(97,261)
2012-07-03 14:27:37,989  22.24 Flick from(82,636)to(97,261)
2012-07-03 14:27:38,520  22.77 Flick from(82,636)to(97,261)
