2012-07-02 13:32:39,588  3.29 Click(127,621)
2012-07-02 13:32:44,144  7.84 Flick from(82,636)to(97,261)
2012-07-02 13:32:44,676  8.37 Flick from(82,636)to(97,261)
2012-07-02 13:32:45,206  8.90 Flick from(82,636)to(97,261)
2012-07-02 13:32:45,736  9.43 Flick from(82,636)to(97,261)
2012-07-02 13:32:46,267  9.96 Flick from(82,636)to(97,261)
2012-07-02 13:32:46,798  10.50 Flick from(82,636)to(97,261)
2012-07-02 13:32:47,335  11.03 Flick from(82,636)to(97,261)
2012-07-02 13:32:47,865  11.56 Flick from(82,636)to(97,261)
2012-07-02 13:32:48,401  12.10 Flick from(82,636)to(97,261)
2012-07-02 13:32:48,936  12.63 Flick from(82,636)to(97,261)
2012-07-02 13:32:49,470  13.17 Flick from(82,636)to(97,261)
2012-07-02 13:32:50,009  13.71 Flick from(82,636)to(97,261)
2012-07-02 13:32:50,539  14.24 Flick from(82,636)to(97,261)
2012-07-02 13:32:51,071  14.77 Flick from(82,636)to(97,261)
2012-07-02 13:32:51,601  15.30 Flick from(82,636)to(97,261)
2012-07-02 13:32:52,132  15.83 Flick from(82,636)to(97,261)
2012-07-02 13:32:52,664  16.36 Flick from(82,636)to(97,261)
2012-07-02 13:32:53,197  16.89 Flick from(82,636)to(97,261)
2012-07-02 13:32:53,727  17.42 Flick from(82,636)to(97,261)
2012-07-02 13:32:54,265  17.96 Flick from(82,636)to(97,261)
2012-07-02 13:32:54,796  18.49 Flick from(82,636)to(97,261)
2012-07-02 13:32:55,371  19.07 Flick from(82,636)to(97,261)
2012-07-02 13:32:55,903  19.60 Flick from(82,636)to(97,261)
2012-07-02 13:32:56,443  20.14 Flick from(82,636)to(97,261)
2012-07-02 13:32:56,973  20.67 Flick from(82,636)to(97,261)
2012-07-02 13:32:57,503  21.20 Flick from(82,636)to(97,261)
2012-07-02 13:32:58,042  21.74 Flick from(82,636)to(97,261)
2012-07-02 13:32:58,573  22.27 Flick from(82,636)to(97,261)
2012-07-02 13:32:59,105  22.80 Flick from(82,636)to(97,261)
2012-07-02 13:32:59,637  23.33 Flick from(82,636)to(97,261)
2012-07-02 13:33:00,167  23.87 Flick from(82,636)to(97,261)
2012-07-02 13:33:00,697  24.39 Flick from(82,636)to(97,261)
