2012-07-05 14:45:36,641  3.60 Click(127,621)
2012-07-05 14:45:41,230  8.18 Flick from(82,636)to(97,261)
2012-07-05 14:45:41,766  8.72 Flick from(82,636)to(97,261)
2012-07-05 14:45:42,298  9.25 Flick from(82,636)to(97,261)
2012-07-05 14:45:42,836  9.79 Flick from(82,636)to(97,261)
2012-07-05 14:45:43,367  10.32 Flick from(82,636)to(97,261)
2012-07-05 14:45:43,907  10.86 Flick from(82,636)to(97,261)
2012-07-05 14:45:44,437  11.39 Flick from(82,636)to(97,261)
2012-07-05 14:45:44,980  11.93 Flick from(82,636)to(97,261)
2012-07-05 14:45:45,512  12.47 Flick from(82,636)to(97,261)
2012-07-05 14:45:46,042  13.00 Flick from(82,636)to(97,261)
2012-07-05 14:45:46,572  13.53 Flick from(82,636)to(97,261)
2012-07-05 14:45:47,101  14.06 Flick from(82,636)to(97,261)
2012-07-05 14:45:47,631  14.59 Flick from(82,636)to(97,261)
2012-07-05 14:45:48,161  15.12 Flick from(82,636)to(97,261)
2012-07-05 14:45:48,693  15.65 Flick from(82,636)to(97,261)
2012-07-05 14:45:49,223  16.18 Flick from(82,636)to(97,261)
2012-07-05 14:45:49,753  16.71 Flick from(82,636)to(97,261)
2012-07-05 14:45:50,286  17.24 Flick from(82,636)to(97,261)
2012-07-05 14:45:50,815  17.77 Flick from(82,636)to(97,261)
2012-07-05 14:45:51,345  18.30 Flick from(82,636)to(97,261)
2012-07-05 14:45:51,875  18.83 Flick from(82,636)to(97,261)
2012-07-05 14:45:52,405  19.36 Flick from(82,636)to(97,261)
2012-07-05 14:45:52,936  19.89 Flick from(82,636)to(97,261)
2012-07-05 14:45:53,466  20.42 Flick from(82,636)to(97,261)
2012-07-05 14:45:53,996  20.95 Flick from(82,636)to(97,261)
2012-07-05 14:45:54,526  21.48 Flick from(82,636)to(97,261)
2012-07-05 14:45:55,055  22.01 Flick from(82,636)to(97,261)
2012-07-05 14:45:55,585  22.54 Flick from(82,636)to(97,261)
2012-07-05 14:45:56,115  23.07 Flick from(82,636)to(97,261)
2012-07-05 14:45:56,645  23.60 Flick from(82,636)to(97,261)
2012-07-05 14:45:57,176  24.13 Flick from(82,636)to(97,261)
2012-07-05 14:45:57,706  24.66 Flick from(82,636)to(97,261)
2012-07-05 14:45:58,236  25.19 Flick from(82,636)to(97,261)
2012-07-05 14:45:58,766  25.72 Flick from(82,636)to(97,261)
2012-07-05 14:45:59,296  26.25 Flick from(82,636)to(97,261)
2012-07-05 14:45:59,825  26.78 Flick from(82,636)to(97,261)
2012-07-05 14:46:00,357  27.31 Flick from(82,636)to(97,261)
2012-07-05 14:46:00,887  27.84 Flick from(82,636)to(97,261)
2012-07-05 14:46:01,417  28.37 Flick from(82,636)to(97,261)
2012-07-05 14:46:01,947  28.90 Flick from(82,636)to(97,261)
2012-07-05 14:46:02,476  29.43 Flick from(82,636)to(97,261)
2012-07-05 14:46:03,006  29.96 Flick from(82,636)to(97,261)
2012-07-05 14:46:03,536  30.49 Flick from(82,636)to(97,261)
2012-07-05 14:46:04,066  31.02 Flick from(82,636)to(97,261)
2012-07-05 14:46:04,596  31.55 Flick from(82,636)to(97,261)
2012-07-05 14:46:05,127  32.08 Flick from(82,636)to(97,261)
2012-07-05 14:46:05,657  32.61 Flick from(82,636)to(97,261)
2012-07-05 14:46:06,187  33.14 Flick from(82,636)to(97,261)
2012-07-05 14:46:06,717  33.67 Flick from(82,636)to(97,261)
2012-07-05 14:46:07,247  34.20 Flick from(82,636)to(97,261)
2012-07-05 14:46:07,778  34.73 Flick from(82,636)to(97,261)
2012-07-05 14:46:08,308  35.26 Flick from(82,636)to(97,261)
2012-07-05 14:46:08,838  35.79 Flick from(82,636)to(97,261)
2012-07-05 14:46:09,368  36.32 Flick from(82,636)to(97,261)
2012-07-05 14:46:09,898  36.85 Flick from(82,636)to(97,261)
2012-07-05 14:46:10,427  37.38 Flick from(82,636)to(97,261)
2012-07-05 14:46:10,957  37.91 Flick from(82,636)to(97,261)
2012-07-05 14:46:11,487  38.44 Flick from(82,636)to(97,261)
2012-07-05 14:46:12,017  38.97 Flick from(82,636)to(97,261)
2012-07-05 14:46:12,548  39.50 Flick from(82,636)to(97,261)
2012-07-05 14:46:13,078  40.03 Flick from(82,636)to(97,261)
2012-07-05 14:46:13,609  40.56 Flick from(82,636)to(97,261)
2012-07-05 14:46:14,140  41.09 Flick from(82,636)to(97,261)
2012-07-05 14:46:14,671  41.62 Flick from(82,636)to(97,261)
2012-07-05 14:46:15,200  42.15 Flick from(82,636)to(97,261)
2012-07-05 14:46:15,730  42.68 Flick from(82,636)to(97,261)
2012-07-05 14:46:16,260  43.21 Flick from(82,636)to(97,261)
2012-07-05 14:46:16,790  43.74 Flick from(82,636)to(97,261)
2012-07-05 14:46:17,322  44.28 Flick from(82,636)to(97,261)
2012-07-05 14:46:17,852  44.81 Flick from(82,636)to(97,261)
2012-07-05 14:46:18,382  45.34 Flick from(82,636)to(97,261)
2012-07-05 14:46:18,913  45.87 Flick from(82,636)to(97,261)
2012-07-05 14:46:19,443  46.40 Flick from(82,636)to(97,261)
2012-07-05 14:46:19,973  46.93 Flick from(82,636)to(97,261)
2012-07-05 14:46:20,503  47.46 Flick from(82,636)to(97,261)
2012-07-05 14:46:21,032  47.99 Flick from(82,636)to(97,261)
2012-07-05 14:46:21,562  48.52 Flick from(82,636)to(97,261)
2012-07-05 14:46:22,092  49.05 Flick from(82,636)to(97,261)
2012-07-05 14:46:22,622  49.58 Flick from(82,636)to(97,261)
2012-07-05 14:46:23,153  50.11 Flick from(82,636)to(97,261)
2012-07-05 14:46:23,684  50.64 Flick from(82,636)to(97,261)
2012-07-05 14:46:24,213  51.17 Flick from(82,636)to(97,261)
2012-07-05 14:46:24,743  51.70 Flick from(82,636)to(97,261)
2012-07-05 14:46:25,273  52.23 Flick from(82,636)to(97,261)
2012-07-05 14:46:25,803  52.76 Flick from(82,636)to(97,261)
2012-07-05 14:46:26,334  53.29 Flick from(82,636)to(97,261)
2012-07-05 14:46:26,864  53.82 Flick from(82,636)to(97,261)
2012-07-05 14:46:27,394  54.35 Flick from(82,636)to(97,261)
2012-07-05 14:46:27,924  54.88 Flick from(82,636)to(97,261)
2012-07-05 14:46:28,453  55.41 Flick from(82,636)to(97,261)
2012-07-05 14:46:28,983  55.94 Flick from(82,636)to(97,261)
2012-07-05 14:46:29,513  56.47 Flick from(82,636)to(97,261)
2012-07-05 14:46:30,043  57.00 Flick from(82,636)to(97,261)
2012-07-05 14:46:30,573  57.53 Flick from(82,636)to(97,261)
2012-07-05 14:46:31,104  58.06 Flick from(82,636)to(97,261)
2012-07-05 14:46:31,634  58.59 Flick from(82,636)to(97,261)
2012-07-05 14:46:32,164  59.12 Flick from(82,636)to(97,261)
2012-07-05 14:46:32,696  59.65 Flick from(82,636)to(97,261)
2012-07-05 14:46:33,226  60.18 Flick from(82,636)to(97,261)
2012-07-05 14:46:33,759  60.71 Flick from(82,636)to(97,261)
2012-07-05 14:46:34,289  61.24 Flick from(82,636)to(97,261)
2012-07-05 14:46:34,819  61.77 Flick from(82,636)to(97,261)
2012-07-05 14:46:35,351  62.30 Flick from(82,636)to(97,261)
2012-07-05 14:46:35,881  62.83 Flick from(82,636)to(97,261)
2012-07-05 14:46:36,411  63.36 Flick from(82,636)to(97,261)
2012-07-05 14:46:36,944  63.90 Flick from(82,636)to(97,261)
2012-07-05 14:46:37,474  64.43 Flick from(82,636)to(97,261)
2012-07-05 14:46:38,006  64.96 Flick from(82,636)to(97,261)
2012-07-05 14:46:38,538  65.49 Flick from(82,636)to(97,261)
2012-07-05 14:46:39,068  66.02 Flick from(82,636)to(97,261)
2012-07-05 14:46:39,861  66.81 Flick from(82,636)to(97,261)
2012-07-05 14:46:40,394  67.35 Flick from(82,636)to(97,261)
2012-07-05 14:46:40,927  67.88 Flick from(82,636)to(97,261)
2012-07-05 14:46:41,457  68.41 Flick from(82,636)to(97,261)
2012-07-05 14:46:41,987  68.94 Flick from(82,636)to(97,261)
2012-07-05 14:46:42,519  69.47 Flick from(82,636)to(97,261)
2012-07-05 14:46:43,049  70.00 Flick from(82,636)to(97,261)
2012-07-05 14:46:43,581  70.53 Flick from(82,636)to(97,261)
2012-07-05 14:46:44,114  71.07 Flick from(82,636)to(97,261)
2012-07-05 14:46:44,650  71.60 Flick from(82,636)to(97,261)
2012-07-05 14:46:45,181  72.13 Flick from(82,636)to(97,261)
2012-07-05 14:46:45,713  72.67 Flick from(82,636)to(97,261)
2012-07-05 14:46:46,243  73.20 Flick from(82,636)to(97,261)
2012-07-05 14:46:46,773  73.73 Flick from(82,636)to(97,261)
2012-07-05 14:46:47,305  74.26 Flick from(82,636)to(97,261)
2012-07-05 14:46:47,835  74.79 Flick from(82,636)to(97,261)
2012-07-05 14:46:48,367  75.32 Flick from(82,636)to(97,261)
2012-07-05 14:46:48,897  75.85 Flick from(82,636)to(97,261)
2012-07-05 14:46:49,427  76.38 Flick from(82,636)to(97,261)
2012-07-05 14:46:49,957  76.91 Flick from(82,636)to(97,261)
2012-07-05 14:46:50,489  77.44 Flick from(82,636)to(97,261)
2012-07-05 14:46:51,020  77.97 Flick from(82,636)to(97,261)
