2012-07-05 17:58:26,953  3.51 Click(127,621)
2012-07-05 17:58:31,520  8.08 Flick from(82,636)to(97,261)
2012-07-05 17:58:32,051  8.61 Flick from(82,636)to(97,261)
2012-07-05 17:58:32,601  9.16 Flick from(82,636)to(97,261)
2012-07-05 17:58:33,131  9.69 Flick from(82,636)to(97,261)
2012-07-05 17:58:33,664  10.22 Flick from(82,636)to(97,261)
2012-07-05 17:58:34,198  10.76 Flick from(82,636)to(97,261)
2012-07-05 17:58:34,729  11.29 Flick from(82,636)to(97,261)
2012-07-05 17:58:35,259  11.82 Flick from(82,636)to(97,261)
2012-07-05 17:58:35,789  12.35 Flick from(82,636)to(97,261)
2012-07-05 17:58:36,319  12.88 Flick from(82,636)to(97,261)
2012-07-05 17:58:36,848  13.41 Flick from(82,636)to(97,261)
2012-07-05 17:58:37,380  13.94 Flick from(82,636)to(97,261)
2012-07-05 17:58:37,910  14.47 Flick from(82,636)to(97,261)
2012-07-05 17:58:38,440  15.00 Flick from(82,636)to(97,261)
2012-07-05 17:58:38,970  15.53 Flick from(82,636)to(97,261)
2012-07-05 17:58:39,500  16.06 Flick from(82,636)to(97,261)
2012-07-05 17:58:40,030  16.59 Flick from(82,636)to(97,261)
2012-07-05 17:58:40,561  17.12 Flick from(82,636)to(97,261)
2012-07-05 17:58:41,091  17.65 Flick from(82,636)to(97,261)
2012-07-05 17:58:41,621  18.18 Flick from(82,636)to(97,261)
2012-07-05 17:58:42,151  18.71 Flick from(82,636)to(97,261)
2012-07-05 17:58:42,684  19.24 Flick from(82,636)to(97,261)
2012-07-05 17:58:43,214  19.77 Flick from(82,636)to(97,261)
2012-07-05 17:58:43,744  20.30 Flick from(82,636)to(97,261)
2012-07-05 17:58:44,276  20.83 Flick from(82,636)to(97,261)
2012-07-05 17:58:44,806  21.36 Flick from(82,636)to(97,261)
2012-07-05 17:58:45,336  21.89 Flick from(82,636)to(97,261)
2012-07-05 17:58:45,869  22.43 Flick from(82,636)to(97,261)
2012-07-05 17:58:46,400  22.96 Flick from(82,636)to(97,261)
2012-07-05 17:58:46,930  23.49 Flick from(82,636)to(97,261)
2012-07-05 17:58:47,460  24.02 Flick from(82,636)to(97,261)
2012-07-05 17:58:47,990  24.55 Flick from(82,636)to(97,261)
2012-07-05 17:58:48,519  25.08 Flick from(82,636)to(97,261)
2012-07-05 17:58:49,051  25.61 Flick from(82,636)to(97,261)
2012-07-05 17:58:49,581  26.14 Flick from(82,636)to(97,261)
2012-07-05 17:58:50,111  26.67 Flick from(82,636)to(97,261)
2012-07-05 17:58:50,648  27.20 Flick from(82,636)to(97,261)
2012-07-05 17:58:51,177  27.73 Flick from(82,636)to(97,261)
2012-07-05 17:58:51,707  28.26 Flick from(82,636)to(97,261)
2012-07-05 17:58:52,237  28.79 Flick from(82,636)to(97,261)
2012-07-05 17:58:52,767  29.32 Flick from(82,636)to(97,261)
2012-07-05 17:58:53,298  29.86 Flick from(82,636)to(97,261)
2012-07-05 17:58:53,828  30.38 Flick from(82,636)to(97,261)
2012-07-05 17:58:54,358  30.91 Flick from(82,636)to(97,261)
2012-07-05 17:58:54,888  31.44 Flick from(82,636)to(97,261)
2012-07-05 17:58:55,418  31.98 Flick from(82,636)to(97,261)
2012-07-05 17:58:55,950  32.51 Flick from(82,636)to(97,261)
2012-07-05 17:58:56,480  33.04 Flick from(82,636)to(97,261)
2012-07-05 17:58:57,010  33.57 Flick from(82,636)to(97,261)
2012-07-05 17:58:57,556  34.11 Flick from(82,636)to(97,261)
2012-07-05 17:58:58,086  34.64 Flick from(82,636)to(97,261)
2012-07-05 17:58:58,617  35.17 Flick from(82,636)to(97,261)
2012-07-05 17:58:59,148  35.70 Flick from(82,636)to(97,261)
2012-07-05 17:58:59,697  36.25 Flick from(82,636)to(97,261)
2012-07-05 17:59:00,227  36.78 Flick from(82,636)to(97,261)
2012-07-05 17:59:00,767  37.32 Flick from(82,636)to(97,261)
2012-07-05 17:59:01,298  37.86 Flick from(82,636)to(97,261)
2012-07-05 17:59:01,828  38.38 Flick from(82,636)to(97,261)
2012-07-05 17:59:02,358  38.91 Flick from(82,636)to(97,261)
2012-07-05 17:59:02,888  39.44 Flick from(82,636)to(97,261)
2012-07-05 17:59:03,420  39.98 Flick from(82,636)to(97,261)
2012-07-05 17:59:03,950  40.51 Flick from(82,636)to(97,261)
2012-07-05 17:59:04,480  41.04 Flick from(82,636)to(97,261)
2012-07-05 17:59:05,009  41.57 Flick from(82,636)to(97,261)
2012-07-05 17:59:05,540  42.10 Flick from(82,636)to(97,261)
2012-07-05 17:59:06,072  42.63 Flick from(82,636)to(97,261)
2012-07-05 17:59:06,602  43.16 Flick from(82,636)to(97,261)
2012-07-05 17:59:07,132  43.69 Flick from(82,636)to(97,261)
2012-07-05 17:59:07,663  44.22 Flick from(82,636)to(97,261)
2012-07-05 17:59:08,193  44.75 Flick from(82,636)to(97,261)
2012-07-05 17:59:08,726  45.28 Flick from(82,636)to(97,261)
2012-07-05 17:59:09,256  45.81 Flick from(82,636)to(97,261)
2012-07-05 17:59:09,786  46.34 Flick from(82,636)to(97,261)
2012-07-05 17:59:10,502  46.88 Flick from(82,636)to(97,261)
2012-07-05 17:59:11,032  47.59 Flick from(82,636)to(97,261)
2012-07-05 17:59:11,562  48.12 Flick from(82,636)to(97,261)
2012-07-05 17:59:12,094  48.65 Flick from(82,636)to(97,261)
2012-07-05 17:59:12,624  49.18 Flick from(82,636)to(97,261)
2012-07-05 17:59:13,154  49.71 Flick from(82,636)to(97,261)
2012-07-05 17:59:13,684  50.24 Flick from(82,636)to(97,261)
2012-07-05 17:59:14,213  50.77 Flick from(82,636)to(97,261)
2012-07-05 17:59:14,743  51.30 Flick from(82,636)to(97,261)
2012-07-05 17:59:15,273  51.83 Flick from(82,636)to(97,261)
2012-07-05 17:59:15,803  52.36 Flick from(82,636)to(97,261)
2012-07-05 17:59:16,336  52.89 Flick from(82,636)to(97,261)
2012-07-05 17:59:16,868  53.42 Flick from(82,636)to(97,261)
2012-07-05 17:59:17,401  53.96 Flick from(82,636)to(97,261)
2012-07-05 17:59:17,930  54.49 Flick from(82,636)to(97,261)
2012-07-05 17:59:18,460  55.02 Flick from(82,636)to(97,261)
2012-07-05 17:59:18,992  55.55 Flick from(82,636)to(97,261)
2012-07-05 17:59:19,522  56.08 Flick from(82,636)to(97,261)
