2012-07-02 17:18:23,851  0.71 Click(127,621)
2012-07-02 17:18:28,401  5.26 Flick from(82,636)to(97,261)
2012-07-02 17:18:28,934  5.80 Flick from(82,636)to(97,261)
2012-07-02 17:18:29,464  6.33 Flick from(82,636)to(97,261)
2012-07-02 17:18:29,994  6.86 Flick from(82,636)to(97,261)
2012-07-02 17:18:30,525  7.39 Flick from(82,636)to(97,261)
2012-07-02 17:18:31,055  7.92 Flick from(82,636)to(97,261)
2012-07-02 17:18:31,594  8.46 Flick from(82,636)to(97,261)
2012-07-02 17:18:32,135  9.00 Flick from(82,636)to(97,261)
2012-07-02 17:18:32,671  9.53 Flick from(82,636)to(97,261)
2012-07-02 17:18:33,201  10.06 Flick from(82,636)to(97,261)
2012-07-02 17:18:33,732  10.59 Flick from(82,636)to(97,261)
2012-07-02 17:18:34,263  11.12 Flick from(82,636)to(97,261)
2012-07-02 17:18:34,793  11.65 Flick from(82,636)to(97,261)
2012-07-02 17:18:35,325  12.19 Flick from(82,636)to(97,261)
2012-07-02 17:18:35,859  12.72 Flick from(82,636)to(97,261)
2012-07-02 17:18:36,391  13.25 Flick from(82,636)to(97,261)
2012-07-02 17:18:36,924  13.79 Flick from(82,636)to(97,261)
2012-07-02 17:18:37,453  14.32 Flick from(82,636)to(97,261)
2012-07-02 17:18:37,983  14.85 Flick from(82,636)to(97,261)
2012-07-02 17:18:38,516  15.38 Flick from(82,636)to(97,261)
2012-07-02 17:18:39,046  15.91 Flick from(82,636)to(97,261)
2012-07-02 17:18:39,575  16.44 Flick from(82,636)to(97,261)
2012-07-02 17:18:40,109  16.97 Flick from(82,636)to(97,261)
2012-07-02 17:18:40,641  17.50 Flick from(82,636)to(97,261)
2012-07-02 17:18:41,171  18.03 Flick from(82,636)to(97,261)
2012-07-02 17:18:41,700  18.56 Flick from(82,636)to(97,261)
2012-07-02 17:18:42,230  19.09 Flick from(82,636)to(97,261)
2012-07-02 17:18:42,760  19.62 Flick from(82,636)to(97,261)
2012-07-02 17:18:43,290  20.15 Flick from(82,636)to(97,261)
2012-07-02 17:18:43,821  20.68 Flick from(82,636)to(97,261)
2012-07-02 17:18:44,351  21.21 Flick from(82,636)to(97,261)
2012-07-02 17:18:44,881  21.74 Flick from(82,636)to(97,261)
2012-07-02 17:18:45,411  22.27 Flick from(82,636)to(97,261)
2012-07-02 17:18:45,943  22.80 Flick from(82,636)to(97,261)
2012-07-02 17:18:46,473  23.33 Flick from(82,636)to(97,261)
2012-07-02 17:18:47,003  23.86 Flick from(82,636)to(97,261)
2012-07-02 17:18:47,533  24.39 Flick from(82,636)to(97,261)
2012-07-02 17:18:48,063  24.92 Flick from(82,636)to(97,261)
2012-07-02 17:18:48,594  25.46 Flick from(82,636)to(97,261)
2012-07-02 17:18:49,124  25.99 Flick from(82,636)to(97,261)
2012-07-02 17:18:49,654  26.52 Flick from(82,636)to(97,261)
2012-07-02 17:18:50,184  27.05 Flick from(82,636)to(97,261)
2012-07-02 17:18:50,713  27.58 Flick from(82,636)to(97,261)
2012-07-02 17:18:51,243  28.11 Flick from(82,636)to(97,261)
2012-07-02 17:18:51,773  28.63 Flick from(82,636)to(97,261)
2012-07-02 17:18:52,305  29.17 Flick from(82,636)to(97,261)
2012-07-02 17:18:52,835  29.70 Flick from(82,636)to(97,261)
2012-07-02 17:18:53,365  30.23 Flick from(82,636)to(97,261)
2012-07-02 17:18:53,895  30.76 Flick from(82,636)to(97,261)
2012-07-02 17:18:54,426  31.29 Flick from(82,636)to(97,261)
2012-07-02 17:18:54,986  31.85 Flick from(82,636)to(97,261)
2012-07-02 17:18:55,535  32.40 Flick from(82,636)to(97,261)
2012-07-02 17:18:56,122  32.98 Flick from(82,636)to(97,261)
2012-07-02 17:18:56,671  33.53 Flick from(82,636)to(97,261)
2012-07-02 17:18:57,201  34.06 Flick from(82,636)to(97,261)
2012-07-02 17:18:57,747  34.61 Flick from(82,636)to(97,261)
2012-07-02 17:18:58,278  35.14 Flick from(82,636)to(97,261)
2012-07-02 17:18:58,825  35.69 Flick from(82,636)to(97,261)
2012-07-02 17:18:59,381  36.24 Flick from(82,636)to(97,261)
2012-07-02 17:18:59,911  36.77 Flick from(82,636)to(97,261)
2012-07-02 17:19:00,441  37.30 Flick from(82,636)to(97,261)
2012-07-02 17:19:00,971  37.83 Flick from(82,636)to(97,261)
2012-07-02 17:19:01,516  38.38 Flick from(82,636)to(97,261)
2012-07-02 17:19:02,046  38.91 Flick from(82,636)to(97,261)
2012-07-02 17:19:02,578  39.44 Flick from(82,636)to(97,261)
2012-07-02 17:19:03,108  39.97 Flick from(82,636)to(97,261)
2012-07-02 17:19:03,638  40.50 Flick from(82,636)to(97,261)
2012-07-02 17:19:04,168  41.03 Flick from(82,636)to(97,261)
2012-07-02 17:19:04,698  41.56 Flick from(82,636)to(97,261)
2012-07-02 17:19:05,229  42.09 Flick from(82,636)to(97,261)
2012-07-02 17:19:05,759  42.62 Flick from(82,636)to(97,261)
2012-07-02 17:19:06,289  43.15 Flick from(82,636)to(97,261)
2012-07-02 17:19:06,821  43.68 Flick from(82,636)to(97,261)
2012-07-02 17:19:07,351  44.21 Flick from(82,636)to(97,261)
2012-07-02 17:19:07,882  44.74 Flick from(82,636)to(97,261)
2012-07-02 17:19:08,413  45.27 Flick from(82,636)to(97,261)
2012-07-02 17:19:08,944  45.81 Flick from(82,636)to(97,261)
2012-07-02 17:19:09,473  46.34 Flick from(82,636)to(97,261)
2012-07-02 17:19:10,003  46.87 Flick from(82,636)to(97,261)
2012-07-02 17:19:10,535  47.40 Flick from(82,636)to(97,261)
2012-07-02 17:19:11,065  47.93 Flick from(82,636)to(97,261)
2012-07-02 17:19:11,596  48.46 Flick from(82,636)to(97,261)
2012-07-02 17:19:12,128  48.99 Flick from(82,636)to(97,261)
2012-07-02 17:19:12,658  49.52 Flick from(82,636)to(97,261)
2012-07-02 17:19:13,196  50.06 Flick from(82,636)to(97,261)
2012-07-02 17:19:13,726  50.59 Flick from(82,636)to(97,261)
2012-07-02 17:19:14,256  51.12 Flick from(82,636)to(97,261)
2012-07-02 17:19:14,786  51.65 Flick from(82,636)to(97,261)
2012-07-02 17:19:15,315  52.18 Flick from(82,636)to(97,261)
2012-07-02 17:19:15,845  52.71 Flick from(82,636)to(97,261)
2012-07-02 17:19:16,375  53.24 Flick from(82,636)to(97,261)
2012-07-02 17:19:16,905  53.77 Flick from(82,636)to(97,261)
2012-07-02 17:19:17,437  54.30 Flick from(82,636)to(97,261)
2012-07-02 17:19:17,969  54.83 Flick from(82,636)to(97,261)
2012-07-02 17:19:18,499  55.36 Flick from(82,636)to(97,261)
2012-07-02 17:19:19,029  55.89 Flick from(82,636)to(97,261)
2012-07-02 17:19:19,559  56.42 Flick from(82,636)to(97,261)
2012-07-02 17:19:20,088  56.95 Flick from(82,636)to(97,261)
2012-07-02 17:19:20,619  57.48 Flick from(82,636)to(97,261)
2012-07-02 17:19:21,150  58.01 Flick from(82,636)to(97,261)
2012-07-02 17:19:21,680  58.54 Flick from(82,636)to(97,261)
2012-07-02 17:19:22,210  59.07 Flick from(82,636)to(97,261)
2012-07-02 17:19:22,740  59.60 Flick from(82,636)to(97,261)
2012-07-02 17:19:23,270  60.13 Flick from(82,636)to(97,261)
2012-07-02 17:19:23,801  60.66 Flick from(82,636)to(97,261)
2012-07-02 17:19:24,332  61.19 Flick from(82,636)to(97,261)
2012-07-02 17:19:24,861  61.72 Flick from(82,636)to(97,261)
2012-07-02 17:19:25,391  62.25 Flick from(82,636)to(97,261)
2012-07-02 17:19:25,921  62.78 Flick from(82,636)to(97,261)
2012-07-02 17:19:26,453  63.32 Flick from(82,636)to(97,261)
2012-07-02 17:19:26,983  63.85 Flick from(82,636)to(97,261)
2012-07-02 17:19:27,513  64.38 Flick from(82,636)to(97,261)
2012-07-02 17:19:28,043  64.90 Flick from(82,636)to(97,261)
2012-07-02 17:19:28,575  65.44 Flick from(82,636)to(97,261)
2012-07-02 17:19:29,105  65.97 Flick from(82,636)to(97,261)
2012-07-02 17:19:29,635  66.50 Flick from(82,636)to(97,261)
2012-07-02 17:19:30,165  67.03 Flick from(82,636)to(97,261)
2012-07-02 17:19:30,697  67.56 Flick from(82,636)to(97,261)
2012-07-02 17:19:31,230  68.09 Flick from(82,636)to(97,261)
2012-07-02 17:19:31,760  68.62 Flick from(82,636)to(97,261)
2012-07-02 17:19:32,290  69.15 Flick from(82,636)to(97,261)
2012-07-02 17:19:32,821  69.68 Flick from(82,636)to(97,261)
2012-07-02 17:19:33,351  70.21 Flick from(82,636)to(97,261)
2012-07-02 17:19:33,881  70.74 Flick from(82,636)to(97,261)
2012-07-02 17:19:34,411  71.27 Flick from(82,636)to(97,261)
2012-07-02 17:19:34,940  71.80 Flick from(82,636)to(97,261)
2012-07-02 17:19:35,470  72.33 Flick from(82,636)to(97,261)
2012-07-02 17:19:36,000  72.86 Flick from(82,636)to(97,261)
2012-07-02 17:19:36,530  73.39 Flick from(82,636)to(97,261)
2012-07-02 17:19:37,061  73.92 Flick from(82,636)to(97,261)
2012-07-02 17:19:37,595  74.46 Flick from(82,636)to(97,261)
2012-07-02 17:19:38,125  74.99 Flick from(82,636)to(97,261)
2012-07-02 17:19:38,655  75.52 Flick from(82,636)to(97,261)
2012-07-02 17:19:39,186  76.05 Flick from(82,636)to(97,261)
2012-07-02 17:19:39,716  76.58 Flick from(82,636)to(97,261)
2012-07-02 17:19:40,250  77.11 Flick from(82,636)to(97,261)
2012-07-02 17:19:40,780  77.64 Flick from(82,636)to(97,261)
2012-07-02 17:19:41,311  78.17 Flick from(82,636)to(97,261)
2012-07-02 17:19:41,841  78.70 Flick from(82,636)to(97,261)
2012-07-02 17:19:42,371  79.23 Flick from(82,636)to(97,261)
2012-07-02 17:19:42,901  79.76 Flick from(82,636)to(97,261)
2012-07-02 17:19:43,430  80.29 Flick from(82,636)to(97,261)
2012-07-02 17:19:43,960  80.82 Flick from(82,636)to(97,261)
2012-07-02 17:19:44,490  81.35 Flick from(82,636)to(97,261)
2012-07-02 17:19:45,020  81.88 Flick from(82,636)to(97,261)
2012-07-02 17:19:45,551  82.41 Flick from(82,636)to(97,261)
2012-07-02 17:19:46,082  82.94 Flick from(82,636)to(97,261)
2012-07-02 17:19:46,611  83.47 Flick from(82,636)to(97,261)
2012-07-02 17:19:47,141  84.00 Flick from(82,636)to(97,261)
2012-07-02 17:19:47,673  84.53 Flick from(82,636)to(97,261)
2012-07-02 17:19:48,203  85.06 Flick from(82,636)to(97,261)
