2012-07-05 18:27:44,960  3.52 Click(127,621)
2012-07-05 18:27:49,510  8.07 Flick from(82,636)to(97,261)
2012-07-05 18:27:50,053  8.62 Flick from(82,636)to(97,261)
2012-07-05 18:27:50,584  9.15 Flick from(82,636)to(97,261)
2012-07-05 18:27:51,115  9.68 Flick from(82,636)to(97,261)
2012-07-05 18:27:51,644  10.21 Flick from(82,636)to(97,261)
2012-07-05 18:27:52,177  10.74 Flick from(82,636)to(97,261)
2012-07-05 18:27:52,707  11.27 Flick from(82,636)to(97,261)
2012-07-05 18:27:53,236  11.80 Flick from(82,636)to(97,261)
2012-07-05 18:27:53,769  12.33 Flick from(82,636)to(97,261)
2012-07-05 18:27:54,299  12.86 Flick from(82,636)to(97,261)
2012-07-05 18:27:54,829  13.39 Flick from(82,636)to(97,261)
2012-07-05 18:27:55,359  13.92 Flick from(82,636)to(97,261)
2012-07-05 18:27:55,890  14.45 Flick from(82,636)to(97,261)
2012-07-05 18:27:56,420  14.98 Flick from(82,636)to(97,261)
2012-07-05 18:27:56,950  15.51 Flick from(82,636)to(97,261)
2012-07-05 18:27:57,486  16.05 Flick from(82,636)to(97,261)
2012-07-05 18:27:58,016  16.58 Flick from(82,636)to(97,261)
2012-07-05 18:27:58,546  17.11 Flick from(82,636)to(97,261)
2012-07-05 18:27:59,075  17.64 Flick from(82,636)to(97,261)
2012-07-05 18:27:59,605  18.17 Flick from(82,636)to(97,261)
2012-07-05 18:28:00,137  18.70 Flick from(82,636)to(97,261)
2012-07-05 18:28:00,667  19.23 Flick from(82,636)to(97,261)
2012-07-05 18:28:01,197  19.76 Flick from(82,636)to(97,261)
2012-07-05 18:28:01,726  20.29 Flick from(82,636)to(97,261)
2012-07-05 18:28:02,256  20.82 Flick from(82,636)to(97,261)
2012-07-05 18:28:02,786  21.35 Flick from(82,636)to(97,261)
2012-07-05 18:28:03,316  21.88 Flick from(82,636)to(97,261)
2012-07-05 18:28:03,849  22.41 Flick from(82,636)to(97,261)
2012-07-05 18:28:04,380  22.94 Flick from(82,636)to(97,261)
2012-07-05 18:28:04,910  23.47 Flick from(82,636)to(97,261)
2012-07-05 18:28:05,440  24.00 Flick from(82,636)to(97,261)
2012-07-05 18:28:05,970  24.53 Flick from(82,636)to(97,261)
2012-07-05 18:28:06,500  25.06 Flick from(82,636)to(97,261)
2012-07-05 18:28:07,030  25.59 Flick from(82,636)to(97,261)
2012-07-05 18:28:07,561  26.12 Flick from(82,636)to(97,261)
2012-07-05 18:28:08,095  26.66 Flick from(82,636)to(97,261)
2012-07-05 18:28:08,625  27.19 Flick from(82,636)to(97,261)
2012-07-05 18:28:09,155  27.72 Flick from(82,636)to(97,261)
2012-07-05 18:28:09,690  28.25 Flick from(82,636)to(97,261)
