2012-07-03 13:52:05,594  0.67 Click(127,621)
2012-07-03 13:52:10,164  5.24 Flick from(82,636)to(97,261)
2012-07-03 13:52:10,694  5.77 Flick from(82,636)to(97,261)
2012-07-03 13:52:11,223  6.30 Flick from(82,636)to(97,261)
2012-07-03 13:52:11,753  6.83 Flick from(82,636)to(97,261)
2012-07-03 13:52:12,283  7.36 Flick from(82,636)to(97,261)
2012-07-03 13:52:12,822  7.89 Flick from(82,636)to(97,261)
2012-07-03 13:52:13,351  8.42 Flick from(82,636)to(97,261)
2012-07-03 13:52:13,882  8.96 Flick from(82,636)to(97,261)
2012-07-03 13:52:14,413  9.49 Flick from(82,636)to(97,261)
2012-07-03 13:52:14,943  10.02 Flick from(82,636)to(97,261)
2012-07-03 13:52:15,473  10.55 Flick from(82,636)to(97,261)
2012-07-03 13:52:16,010  11.08 Flick from(82,636)to(97,261)
2012-07-03 13:52:16,540  11.61 Flick from(82,636)to(97,261)
2012-07-03 13:52:17,108  12.18 Flick from(82,636)to(97,261)
2012-07-03 13:52:17,640  12.71 Flick from(82,636)to(97,261)
2012-07-03 13:52:18,171  13.24 Flick from(82,636)to(97,261)
2012-07-03 13:52:18,703  13.78 Flick from(82,636)to(97,261)
2012-07-03 13:52:19,233  14.31 Flick from(82,636)to(97,261)
2012-07-03 13:52:19,763  14.84 Flick from(82,636)to(97,261)
2012-07-03 13:52:20,293  15.37 Flick from(82,636)to(97,261)
2012-07-03 13:52:20,823  15.90 Flick from(82,636)to(97,261)
2012-07-03 13:52:21,354  16.43 Flick from(82,636)to(97,261)
2012-07-03 13:52:21,884  16.96 Flick from(82,636)to(97,261)
2012-07-03 13:52:22,414  17.49 Flick from(82,636)to(97,261)
2012-07-03 13:52:22,946  18.02 Flick from(82,636)to(97,261)
2012-07-03 13:52:23,476  18.55 Flick from(82,636)to(97,261)
2012-07-03 13:52:24,006  19.08 Flick from(82,636)to(97,261)
2012-07-03 13:52:24,536  19.61 Flick from(82,636)to(97,261)
2012-07-03 13:52:25,111  20.18 Flick from(82,636)to(97,261)
2012-07-03 13:52:25,641  20.71 Flick from(82,636)to(97,261)
2012-07-03 13:52:26,171  21.24 Flick from(82,636)to(97,261)
2012-07-03 13:52:26,701  21.77 Flick from(82,636)to(97,261)
2012-07-03 13:52:27,232  22.31 Flick from(82,636)to(97,261)
2012-07-03 13:52:27,763  22.84 Flick from(82,636)to(97,261)
2012-07-03 13:52:28,292  23.37 Flick from(82,636)to(97,261)
2012-07-03 13:52:28,822  23.90 Flick from(82,636)to(97,261)
2012-07-03 13:52:29,352  24.43 Flick from(82,636)to(97,261)
2012-07-03 13:52:29,882  24.96 Flick from(82,636)to(97,261)
2012-07-03 13:52:30,413  25.49 Flick from(82,636)to(97,261)
2012-07-03 13:52:30,943  26.02 Flick from(82,636)to(97,261)
2012-07-03 13:52:31,473  26.55 Flick from(82,636)to(97,261)
2012-07-03 13:52:32,003  27.08 Flick from(82,636)to(97,261)
2012-07-03 13:52:32,532  27.61 Flick from(82,636)to(97,261)
2012-07-03 13:52:33,063  28.14 Flick from(82,636)to(97,261)
2012-07-03 13:52:33,594  28.67 Flick from(82,636)to(97,261)
2012-07-03 13:52:34,124  29.20 Flick from(82,636)to(97,261)
2012-07-03 13:52:34,654  29.73 Flick from(82,636)to(97,261)
2012-07-03 13:52:35,184  30.26 Flick from(82,636)to(97,261)
2012-07-03 13:52:35,713  30.79 Flick from(82,636)to(97,261)
2012-07-03 13:52:36,243  31.32 Flick from(82,636)to(97,261)
2012-07-03 13:52:36,773  31.85 Flick from(82,636)to(97,261)
2012-07-03 13:52:37,303  32.38 Flick from(82,636)to(97,261)
2012-07-03 13:52:37,834  32.91 Flick from(82,636)to(97,261)
2012-07-03 13:52:38,364  33.44 Flick from(82,636)to(97,261)
2012-07-03 13:52:38,894  33.97 Flick from(82,636)to(97,261)
2012-07-03 13:52:39,424  34.50 Flick from(82,636)to(97,261)
2012-07-03 13:52:39,953  35.03 Flick from(82,636)to(97,261)
2012-07-03 13:52:40,483  35.56 Flick from(82,636)to(97,261)
2012-07-03 13:52:41,013  36.09 Flick from(82,636)to(97,261)
2012-07-03 13:52:41,543  36.62 Flick from(82,636)to(97,261)
2012-07-03 13:52:42,073  37.15 Flick from(82,636)to(97,261)
2012-07-03 13:52:42,604  37.68 Flick from(82,636)to(97,261)
2012-07-03 13:52:43,134  38.21 Flick from(82,636)to(97,261)
2012-07-03 13:52:43,664  38.74 Flick from(82,636)to(97,261)
2012-07-03 13:52:44,194  39.27 Flick from(82,636)to(97,261)
2012-07-03 13:52:44,723  39.80 Flick from(82,636)to(97,261)
2012-07-03 13:52:45,255  40.33 Flick from(82,636)to(97,261)
2012-07-03 13:52:45,785  40.86 Flick from(82,636)to(97,261)
2012-07-03 13:52:46,315  41.39 Flick from(82,636)to(97,261)
2012-07-03 13:52:46,845  41.92 Flick from(82,636)to(97,261)
2012-07-03 13:52:47,375  42.45 Flick from(82,636)to(97,261)
2012-07-03 13:52:47,904  42.98 Flick from(82,636)to(97,261)
2012-07-03 13:52:48,434  43.51 Flick from(82,636)to(97,261)
