2012-07-03 14:17:23,799  0.60 Click(127,621)
2012-07-03 14:17:28,348  5.15 Flick from(82,636)to(97,261)
2012-07-03 14:17:28,878  5.68 Flick from(82,636)to(97,261)
2012-07-03 14:17:29,408  6.21 Flick from(82,636)to(97,261)
2012-07-03 14:17:29,938  6.74 Flick from(82,636)to(97,261)
2012-07-03 14:17:30,469  7.27 Flick from(82,636)to(97,261)
2012-07-03 14:17:31,006  7.80 Flick from(82,636)to(97,261)
2012-07-03 14:17:31,536  8.34 Flick from(82,636)to(97,261)
2012-07-03 14:17:32,066  8.87 Flick from(82,636)to(97,261)
2012-07-03 14:17:32,596  9.39 Flick from(82,636)to(97,261)
2012-07-03 14:17:33,127  9.93 Flick from(82,636)to(97,261)
2012-07-03 14:17:33,661  10.46 Flick from(82,636)to(97,261)
2012-07-03 14:17:34,190  10.99 Flick from(82,636)to(97,261)
2012-07-03 14:17:34,720  11.52 Flick from(82,636)to(97,261)
2012-07-03 14:17:35,250  12.05 Flick from(82,636)to(97,261)
2012-07-03 14:17:35,780  12.58 Flick from(82,636)to(97,261)
2012-07-03 14:17:36,311  13.11 Flick from(82,636)to(97,261)
2012-07-03 14:17:36,841  13.64 Flick from(82,636)to(97,261)
2012-07-03 14:17:37,371  14.17 Flick from(82,636)to(97,261)
2012-07-03 14:17:37,901  14.70 Flick from(82,636)to(97,261)
2012-07-03 14:17:38,430  15.23 Flick from(82,636)to(97,261)
2012-07-03 14:17:38,960  15.76 Flick from(82,636)to(97,261)
2012-07-03 14:17:39,490  16.29 Flick from(82,636)to(97,261)
2012-07-03 14:17:40,020  16.82 Flick from(82,636)to(97,261)
2012-07-03 14:17:40,551  17.35 Flick from(82,636)to(97,261)
2012-07-03 14:17:41,118  17.92 Flick from(82,636)to(97,261)
2012-07-03 14:17:41,648  18.45 Flick from(82,636)to(97,261)
2012-07-03 14:17:42,180  18.98 Flick from(82,636)to(97,261)
2012-07-03 14:17:42,710  19.51 Flick from(82,636)to(97,261)
2012-07-03 14:17:43,240  20.04 Flick from(82,636)to(97,261)
2012-07-03 14:17:43,770  20.57 Flick from(82,636)to(97,261)
2012-07-03 14:17:44,301  21.10 Flick from(82,636)to(97,261)
2012-07-03 14:17:44,831  21.63 Flick from(82,636)to(97,261)
2012-07-03 14:17:45,361  22.16 Flick from(82,636)to(97,261)
2012-07-03 14:17:45,891  22.69 Flick from(82,636)to(97,261)
2012-07-03 14:17:46,421  23.22 Flick from(82,636)to(97,261)
2012-07-03 14:17:46,950  23.75 Flick from(82,636)to(97,261)
2012-07-03 14:17:47,480  24.28 Flick from(82,636)to(97,261)
