2012-07-03 14:36:16,568  0.64 Click(127,621)
2012-07-03 14:37:08,947  53.02 Flick from(82,636)to(97,261)
2012-07-03 14:37:09,476  53.55 Flick from(82,636)to(97,261)
2012-07-03 14:37:10,006  54.08 Flick from(82,636)to(97,261)
2012-07-03 14:37:10,536  54.61 Flick from(82,636)to(97,261)
2012-07-03 14:37:11,111  55.18 Flick from(82,636)to(97,261)
2012-07-03 14:37:11,641  55.71 Flick from(82,636)to(97,261)
2012-07-03 14:37:12,171  56.24 Flick from(82,636)to(97,261)
2012-07-03 14:37:12,700  56.77 Flick from(82,636)to(97,261)
2012-07-03 14:37:13,230  57.30 Flick from(82,636)to(97,261)
2012-07-03 14:37:13,762  57.83 Flick from(82,636)to(97,261)
2012-07-03 14:37:14,292  58.36 Flick from(82,636)to(97,261)
2012-07-03 14:37:14,822  58.89 Flick from(82,636)to(97,261)
2012-07-03 14:37:15,354  59.42 Flick from(82,636)to(97,261)
2012-07-03 14:37:15,884  59.95 Flick from(82,636)to(97,261)
2012-07-03 14:37:16,414  60.48 Flick from(82,636)to(97,261)
2012-07-03 14:37:16,944  61.01 Flick from(82,636)to(97,261)
2012-07-03 14:37:17,474  61.54 Flick from(82,636)to(97,261)
2012-07-03 14:37:18,005  62.08 Flick from(82,636)to(97,261)
2012-07-03 14:37:18,535  62.61 Flick from(82,636)to(97,261)
2012-07-03 14:37:19,071  63.14 Flick from(82,636)to(97,261)
2012-07-03 14:37:19,601  63.67 Flick from(82,636)to(97,261)
2012-07-03 14:37:20,131  64.20 Flick from(82,636)to(97,261)
2012-07-03 14:37:20,661  64.73 Flick from(82,636)to(97,261)
2012-07-03 14:37:21,191  65.26 Flick from(82,636)to(97,261)
2012-07-03 14:37:21,726  65.80 Flick from(82,636)to(97,261)
2012-07-03 14:37:22,256  66.33 Flick from(82,636)to(97,261)
2012-07-03 14:37:22,789  66.86 Flick from(82,636)to(97,261)
2012-07-03 14:37:23,319  67.39 Flick from(82,636)to(97,261)
2012-07-03 14:37:23,848  67.92 Flick from(82,636)to(97,261)
2012-07-03 14:37:24,378  68.45 Flick from(82,636)to(97,261)
2012-07-03 14:37:24,908  68.98 Flick from(82,636)to(97,261)
2012-07-03 14:37:25,440  69.51 Flick from(82,636)to(97,261)
2012-07-03 14:37:25,970  70.04 Flick from(82,636)to(97,261)
2012-07-03 14:37:26,500  70.57 Flick from(82,636)to(97,261)
2012-07-03 14:37:27,030  71.10 Flick from(82,636)to(97,261)
2012-07-03 14:37:27,561  71.63 Flick from(82,636)to(97,261)
2012-07-03 14:37:28,092  72.16 Flick from(82,636)to(97,261)
2012-07-03 14:37:28,622  72.69 Flick from(82,636)to(97,261)
2012-07-03 14:37:29,153  73.22 Flick from(82,636)to(97,261)
2012-07-03 14:37:29,683  73.75 Flick from(82,636)to(97,261)
2012-07-03 14:37:30,224  74.29 Flick from(82,636)to(97,261)
2012-07-03 14:37:30,755  74.83 Flick from(82,636)to(97,261)
2012-07-03 14:37:31,285  75.36 Flick from(82,636)to(97,261)
2012-07-03 14:37:31,815  75.88 Flick from(82,636)to(97,261)
2012-07-03 14:37:32,345  76.41 Flick from(82,636)to(97,261)
2012-07-03 14:37:32,875  76.94 Flick from(82,636)to(97,261)
2012-07-03 14:37:33,404  77.47 Flick from(82,636)to(97,261)
2012-07-03 14:37:33,934  78.00 Flick from(82,636)to(97,261)
2012-07-03 14:37:34,464  78.53 Flick from(82,636)to(97,261)
2012-07-03 14:37:34,994  79.06 Flick from(82,636)to(97,261)
2012-07-03 14:37:35,525  79.60 Flick from(82,636)to(97,261)
2012-07-03 14:37:36,059  80.13 Flick from(82,636)to(97,261)
