2012-06-28 12:11:50,589  2.46 Click(127,621)
2012-06-28 12:11:55,141  7.01 Flick from(82,636)to(97,261)
2012-06-28 12:11:55,671  7.54 Flick from(82,636)to(97,261)
2012-06-28 12:11:56,201  8.07 Flick from(82,636)to(97,261)
2012-06-28 12:11:56,732  8.60 Flick from(82,636)to(97,261)
2012-06-28 12:11:57,262  9.13 Flick from(82,636)to(97,261)
2012-06-28 12:11:57,792  9.66 Flick from(82,636)to(97,261)
2012-06-28 12:11:58,325  10.19 Flick from(82,636)to(97,261)
2012-06-28 12:11:58,862  10.73 Flick from(82,636)to(97,261)
2012-06-28 12:11:59,392  11.26 Flick from(82,636)to(97,261)
2012-06-28 12:11:59,923  11.79 Flick from(82,636)to(97,261)
2012-06-28 12:12:00,453  12.32 Flick from(82,636)to(97,261)
2012-06-28 12:12:00,983  12.85 Flick from(82,636)to(97,261)
2012-06-28 12:12:01,513  13.38 Flick from(82,636)to(97,261)
2012-06-28 12:12:02,043  13.91 Flick from(82,636)to(97,261)
2012-06-28 12:12:02,573  14.44 Flick from(82,636)to(97,261)
2012-06-28 12:12:03,104  14.97 Flick from(82,636)to(97,261)
2012-06-28 12:12:03,634  15.50 Flick from(82,636)to(97,261)
2012-06-28 12:12:04,164  16.03 Flick from(82,636)to(97,261)
2012-06-28 12:12:04,696  16.56 Flick from(82,636)to(97,261)
2012-06-28 12:12:05,226  17.09 Flick from(82,636)to(97,261)
2012-06-28 12:12:05,759  17.63 Flick from(82,636)to(97,261)
2012-06-28 12:12:06,289  18.16 Flick from(82,636)to(97,261)
2012-06-28 12:12:06,819  18.69 Flick from(82,636)to(97,261)
2012-06-28 12:12:07,349  19.22 Flick from(82,636)to(97,261)
2012-06-28 12:12:07,880  19.75 Flick from(82,636)to(97,261)
2012-06-28 12:12:08,410  20.28 Flick from(82,636)to(97,261)
2012-06-28 12:12:08,940  20.81 Flick from(82,636)to(97,261)
2012-06-28 12:12:09,470  21.34 Flick from(82,636)to(97,261)
2012-06-28 12:12:10,000  21.87 Flick from(82,636)to(97,261)
2012-06-28 12:12:10,529  22.40 Flick from(82,636)to(97,261)
2012-06-28 12:12:11,059  22.93 Flick from(82,636)to(97,261)
2012-06-28 12:12:11,589  23.46 Flick from(82,636)to(97,261)
2012-06-28 12:12:12,119  23.99 Flick from(82,636)to(97,261)
2012-06-28 12:12:12,650  24.52 Flick from(82,636)to(97,261)
2012-06-28 12:12:13,180  25.05 Flick from(82,636)to(97,261)
2012-06-28 12:12:13,710  25.58 Flick from(82,636)to(97,261)
2012-06-28 12:12:14,240  26.11 Flick from(82,636)to(97,261)
2012-06-28 12:12:14,769  26.64 Flick from(82,636)to(97,261)
2012-06-28 12:12:15,299  27.17 Flick from(82,636)to(97,261)
2012-06-28 12:12:15,829  27.70 Flick from(82,636)to(97,261)
2012-06-28 12:12:16,359  28.23 Flick from(82,636)to(97,261)
